record_id,scenario_id,period,facility_id,case_type,chemistry,pack_mass_kg,demand_packs,demand_kg,production_packs,regular_capacity_packs,overtime_capacity_packs,service_gap_packs,eol_returns_packs,eol_returns_kg,collection_rate,grade_A_share,grade_B_share,grade_C_share,soh,cycles,damage_index,temperature_c,recovery_quality_score,quality_grade,pathway,recycle_yield,reman_yield,second_life_share,reman_eligible_share,expected_recovered_kg,recycled_content_share,material_price_index,transport_distance_km,facility_available,facility_uptime,energy_kwh_per_pack,grid_kgco2e_per_kwh,scrap_rate,safety_stock_packs,imputation_required,data_quality_state
OBS-00012-SCN-01-002-P02,SCN-01-002,2,PLANT-08,baseline,LFP,395.208,2234.155,882955.281,2229.266,2568.892,407.422,0.0,278.631,110117.164,0.879819,0.45612,0.20847,0.33541,0.753947,1109.38,0.288247,35.445,0.493148,B,remanufacture,0.885119,0.814524,0.14886,0.312695,72988.029,0.401393,1.003214,500.614,1,0.991831,249.782,0.10942,0.031551,177.276,0,COMPLETE
OBS-00013-SCN-01-002-P03,SCN-01-002,3,PLANT-08,baseline,LFP,395.208,2228.185,880596.008,2195.303,2633.125,331.123,0.0,254.444,100558.122,0.905677,0.530927,0.180128,0.288945,0.887825,706.11,0.226768,19.146,0.632823,A,second_life,0.868108,0.834122,0.189189,0.300926,64103.804,0.332326,1.013466,378.036,1,0.998008,268.026,0.704422,0.031386,213.08,0,COMPLETE
OBS-00014-SCN-01-002-P04,SCN-01-002,4,PLANT-08,baseline,LFP,395.208,2286.88,903792.694,2311.722,2498.561,397.763,0.0,443.562,175299.3,0.949005,0.482186,0.260379,0.257435,0.657561,1076.575,0.052242,30.403,0.552158,B,recycle,0.891615,0.835742,0.166873,0.292179,123576.814,0.204333,0.876235,674.629,1,0.988637,329.108,0.115772,0.039472,262.772,0,COMPLETE
OBS-00015-SCN-01-002-P05,SCN-01-002,5,PLANT-08,baseline,LFP,395.208,2114.917,835831.699,2145.027,2413.22,336.79,0.0,545.768,215691.751,0.879539,0.496058,0.284358,0.219585,0.818268,1244.79,0.059632,22.706,0.673649,A,recycle,0.884601,0.817536,0.146341,0.336329,143258.431,0.249965,1.094647,496.778,1,0.988193,335.924,0.394427,0.044292,209.741,0,COMPLETE
OBS-00016-SCN-01-002-P06,SCN-01-002,6,PLANT-08,baseline,LFP,395.208,1869.261,738746.625,1852.843,2025.103,222.814,0.0,474.62,187573.514,0.845277,0.521665,0.173609,0.304726,0.765975,1197.663,0.106874,22.732,0.6134,B,recycle,0.902173,0.846818,0.157438,0.334845,120520.754,0.425383,1.049538,543.966,1,0.975974,313.774,0.340591,0.038207,194.192,0,COMPLETE
OBS-00017-SCN-01-002-P07,SCN-01-002,7,PLANT-08,baseline,LFP,395.208,1790.043,707438.674,1774.742,1952.225,330.711,0.0,484.876,191626.719,0.830569,0.494993,0.207453,0.297554,0.801523,221.593,0.06093,38.023,0.628782,A,recycle,0.894547,0.874269,0.172093,0.331292,117873.552,0.350059,0.890636,522.184,1,0.982047,274.17,0.321664,0.033061,108.167,0,COMPLETE
OBS-00018-SCN-01-002-P08,SCN-01-002,8,PLANT-08,baseline,LFP,395.208,1814.803,717224.098,1821.058,2168.324,347.233,0.0,357.762,141390.495,0.877283,0.391078,0.280142,0.32878,0.756038,1167.049,0.494874,13.096,0.391098,C,recycle,0.823334,0.787562,0.137049,0.298854,88129.72,0.351026,0.955526,483.844,1,0.978262,251.392,0.319012,0.039997,137.913,0,COMPLETE
OBS-00019-SCN-01-002-P09,SCN-01-002,9,PLANT-08,baseline,LFP,395.208,1803.363,712702.872,1825.271,1931.459,295.398,0.0,276.005,109079.452,0.931135,0.480842,0.254427,0.264731,0.674671,944.257,0.036396,36.076,0.555066,B,remanufacture,0.933797,0.804285,0.177558,0.292679,78003.372,0.372039,0.943627,343.002,1,0.965677,291.48,0.364657,0.02707,205.328,0,COMPLETE
OBS-00020-SCN-01-002-P10,SCN-01-002,10,PLANT-08,baseline,LFP,395.208,1809.129,714981.935,1820.358,1942.371,347.334,0.0,276.235,109170.234,0.843864,0.489408,0.235466,0.275126,0.865319,1133.88,0.3002,24.129,0.596321,B,remanufacture,0.891331,0.788478,0.168745,0.344677,68257.482,0.303161,0.963567,464.357,1,0.977704,334.387,0.408032,0.033843,96.096,0,COMPLETE
OBS-00021-SCN-01-003-P01,SCN-01-003,1,PLANT-06,baseline,LFP,389.711,3005.22,1171168.002,3054.539,3391.912,502.189,0.0,768.589,299527.892,0.915893,0.581166,0.18519,0.233644,0.929914,594.645,0.055904,31.03,0.744616,A,remanufacture,0.908664,0.859511,0.169829,0.350761,206944.0,0.369301,0.958464,545.813,1,0.980698,333.546,0.358629,0.044017,126.859,0,COMPLETE
OBS-00022-SCN-01-003-P02,SCN-01-003,2,PLANT-06,baseline,LFP,389.711,3046.142,1187115.448,3047.708,3434.97,576.206,0.0,335.412,130713.941,0.897216,0.440551,0.278896,0.280552,0.803934,1619.605,0.181498,39.279,0.568878,B,remanufacture,0.855415,0.823189,0.144063,0.318122,85869.205,0.176877,1.085768,599.432,1,0.986485,329.169,0.05,0.040724,138.897,0,COMPLETE
OBS-00023-SCN-01-003-P03,SCN-01-003,3,PLANT-06,baseline,LFP,389.711,3051.041,1189024.958,3101.766,3367.941,458.073,0.0,493.321,192252.627,0.830385,0.519561,0.191057,0.289382,0.836977,855.617,0.103868,29.24,0.660046,A,recycle,0.915643,0.851129,0.180685,0.334852,119764.675,0.00162,0.948822,211.982,1,0.986489,328.566,0.339205,0.041528,341.748,0,COMPLETE
OBS-00024-SCN-01-003-P04,SCN-01-003,4,PLANT-06,baseline,LFP,389.711,3083.412,1201640.085,3049.18,3674.734,506.642,0.0,586.43,228538.374,0.860519,0.520346,0.151656,0.327999,0.810557,1125.845,0.105069,28.091,0.643896,A,second_life,0.893296,0.84767,0.176938,0.323923,144593.19,0.258523,0.999266,414.983,1,0.98208,360.106,0.321305,0.04723,244.407,0,COMPLETE
OBS-00025-SCN-01-003-P05,SCN-01-003,5,PLANT-06,baseline,LFP,389.711,3095.33,1206284.795,3078.954,3489.809,299.97,0.0,362.471,141259.054,0.921375,0.466486,0.234399,0.299116,0.62952,541.989,0.074038,22.511,0.530248,B,remanufacture,0.913833,0.837636,0.137371,0.308002,102599.065,0.035985,0.990284,546.769,1,0.987152,341.148,0.448558,0.030797,293.545,0,COMPLETE
OBS-00026-SCN-01-003-P06,SCN-01-003,6,PLANT-06,baseline,LFP,389.711,2753.721,1073155.844,2765.432,3261.474,325.962,0.0,650.097,253350.116,0.903084,0.462607,0.25643,0.280963,0.784753,1502.016,0.189953,24.549,0.592491,B,remanufacture,0.859763,0.818638,0.17341,0.307707,162599.071,0.302413,0.747368,545.082,1,0.986283,256.085,0.407948,0.036494,271.242,0,COMPLETE
OBS-00027-SCN-01-003-P07,SCN-01-003,7,PLANT-06,baseline,LFP,389.711,2990.61,1165474.014,2996.571,3245.012,397.139,0.0,810.705,315940.902,0.929038,0.479094,0.262161,0.258745,0.896913,656.7,0.215535,18.762,0.643605,A,recycle,0.907528,0.839862,0.162449,0.345673,223105.521,0.229645,1.230664,583.586,1,0.974729,365.271,0.325123,0.03357,271.998,0,COMPLETE
OBS-00028-SCN-01-003-P08,SCN-01-003,8,PLANT-06,baseline,LFP,389.711,2351.906,916564.25,2325.555,2683.432,448.687,0.0,267.629,104298.056,0.936429,0.552071,0.231645,0.216284,0.861463,139.547,0.010169,25.535,0.733767,A,remanufacture,0.916668,0.864741,0.163817,0.297806,74862.49,0.236057,0.971252,630.395,1,0.976268,386.695,0.444857,0.038464,260.304,0,COMPLETE
OBS-00029-SCN-01-003-P09,SCN-01-003,9,PLANT-06,baseline,LFP,389.711,2639.701,1028720.844,2613.853,3016.842,222.697,0.0,523.492,204010.809,0.888858,0.41945,0.30458,0.27597,0.879982,465.636,0.618946,22.544,0.449125,B,remanufacture,0.826763,0.774113,0.130908,0.289682,130296.331,0.137097,0.998071,291.662,1,0.991878,319.636,0.51733,0.035245,275.67,0,COMPLETE
OBS-00030-SCN-01-003-P10,SCN-01-003,10,PLANT-06,baseline,LFP,389.711,2601.588,1013867.913,2647.105,2777.84,471.804,0.0,378.179,147380.666,0.897607,0.510104,0.271904,0.217992,0.945879,1290.87,0.193481,18.419,0.688419,A,remanufacture,0.892984,0.850368,0.170355,0.301445,98008.275,0.285667,0.82598,811.088,1,0.982324,330.603,0.697416,0.038421,244.514,0,COMPLETE
OBS-00031-SCN-01-004-P01,SCN-01-004,1,PLANT-11,baseline,NMC811,405.36,3677.747,1490811.972,3687.751,3998.467,668.688,0.0,445.851,180730.238,0.828993,0.542284,0.254863,0.202853,0.918652,1296.72,0.14102,38.629,0.672852,A,second_life,0.882776,0.882508,0.168726,0.334372,109945.236,0.12087,1.028929,453.446,1,0.987724,347.642,0.426566,0.042067,201.132,0,COMPLETE
OBS-00032-SCN-01-004-P02,SCN-01-004,2,PLANT-11,baseline,NMC811,405.36,3808.535,1543828.066,3760.94,4223.68,706.511,0.0,560.861,227350.576,0.905802,0.54123,0.14693,0.311839,0.682232,774.281,0.032718,19.155,0.577967,B,remanufacture,0.920034,0.852685,0.167815,0.319136,157671.401,0.30868,1.233949,328.482,1,0.973612,322.59,0.316138,0.047546,355.563,0,COMPLETE
OBS-00033-SCN-01-004-P03,SCN-01-004,3,PLANT-11,baseline,NMC811,405.36,3821.755,1549186.931,3835.714,4411.302,454.072,0.0,1043.622,423042.544,0.907256,0.493117,0.218938,0.287945,0.789725,913.779,0.122076,21.702,0.62011,A,second_life,0.916898,0.823356,0.162412,0.296913,294758.069,0.389764,0.902056,478.177,1,0.981906,281.357,0.399273,0.046327,273.458,0,COMPLETE
OBS-00034-SCN-01-004-P04,SCN-01-004,4,PLANT-11,baseline,NMC811,405.36,3787.27,1535208.026,3801.88,4037.923,563.186,0.0,383.848,155596.584,0.832513,0.51621,0.210728,0.273062,0.720657,909.807,0.03105,21.118,0.612325,B,remanufacture,0.914233,0.867816,0.172491,0.36661,97998.754,0.296684,1.080823,546.781,1,0.992341,367.379,0.34532,0.035556,337.898,0,COMPLETE
OBS-00035-SCN-01-004-P05,SCN-01-004,5,PLANT-11,baseline,NMC811,405.36,4062.876,1646927.609,4047.153,4763.571,542.612,0.0,481.703,195263.265,0.822384,0.563662,0.204933,0.231405,0.894824,869.55,0.009076,28.946,0.748078,A,remanufacture,0.898376,0.866837,0.180109,0.337662,118279.523,0.239951,1.072734,571.561,1,0.977753,318.227,0.351384,0.030064,452.518,0,COMPLETE
OBS-00036-SCN-01-004-P06,SCN-01-004,6,PLANT-11,baseline,NMC811,405.36,3572.911,1448315.458,3616.863,3789.568,289.059,0.0,652.494,264494.904,0.945562,0.460599,0.193825,0.345576,0.803388,950.992,0.374217,20.584,0.505568,B,recycle,0.84698,0.803904,0.135349,0.299949,183156.199,0.268064,0.953674,615.246,1,0.98752,352.758,0.273093,0.040652,382.867,0,COMPLETE
OBS-00037-SCN-01-004-P07,SCN-01-004,7,PLANT-11,baseline,NMC811,405.36,3007.696,1219199.863,2994.221,3603.446,267.304,0.0,699.846,283689.48,0.901623,0.527118,0.212133,0.260749,0.91613,1031.972,0.185794,17.695,0.668517,A,second_life,0.900926,0.817388,0.18625,0.340689,187520.255,0.321744,0.852303,300.064,1,0.985968,361.282,0.351741,0.043325,327.375,0,COMPLETE
OBS-00038-SCN-01-004-P08,SCN-01-004,8,PLANT-11,baseline,NMC811,405.36,2819.138,1142766.054,2784.195,3088.236,421.202,0.0,633.908,256961.026,0.917536,0.431888,0.211011,0.3571,0.728818,1299.349,0.402874,34.231,0.423677,B,recycle,0.867824,0.818002,0.152815,0.324234,173340.613,0.225521,1.07867,581.429,1,0.996972,290.721,0.377048,0.033518,116.27,0,COMPLETE
OBS-00039-SCN-01-004-P09,SCN-01-004,9,PLANT-11,baseline,NMC811,405.36,2989.947,1212005.317,2975.045,3518.108,370.0,0.0,784.565,318031.47,0.912664,0.426618,0.198678,0.374704,0.614752,803.701,0.208371,18.687,0.443664,B,remanufacture,0.900279,0.796172,0.158471,0.311088,219901.07,0.405063,1.059337,326.599,1,0.9693,307.856,0.477216,0.024803,204.706,0,COMPLETE
OBS-00040-SCN-01-004-P10,SCN-01-004,10,PLANT-11,baseline,NMC811,405.36,3305.593,1339955.555,3313.251,3718.375,408.966,0.0,361.768,146646.203,0.849236,0.510174,0.214589,0.275238,0.8024,1925.127,0.13233,36.595,0.599424,B,remanufacture,0.88726,0.829765,0.148005,0.317915,94142.759,0.316446,0.925804,315.553,1,0.989622,256.281,0.476759,0.03128,180.065,0,COMPLETE
OBS-00041-SCN-01-005-P01,SCN-01-005,1,PLANT-08,baseline,NMC811,411.104,3010.765,1237736.802,3044.968,3326.424,428.531,0.0,816.518,335673.701,0.947393,0.492691,0.22683,0.280479,0.809092,1124.517,0.203598,18.086,0.584077,B,remanufacture,0.863725,0.819835,0.167664,0.327155,228624.124,0.28998,1.046491,727.907,1,0.989725,323.336,0.242617,0.031591,137.081,0,COMPLETE
OBS-00042-SCN-01-005-P02,SCN-01-005,2,PLANT-08,baseline,NMC811,411.104,3128.951,1286323.787,3172.446,3555.381,377.967,0.0,861.347,354103.102,0.92525,0.454512,0.238483,0.307005,0.672658,943.685,0.16984,29.884,0.508139,B,remanufacture,0.868685,0.814809,0.174729,0.324005,234880.931,0.430449,1.057149,145.474,1,0.987018,259.594,0.188917,0.039792,155.625,0,COMPLETE
OBS-00043-SCN-01-005-P03,SCN-01-005,3,PLANT-08,baseline,NMC811,411.104,3454.08,1419985.34,3520.493,3752.367,307.879,0.0,587.745,241624.399,0.832211,0.453465,0.258669,0.287866,0.67493,1527.242,0.15042,25.478,0.532314,B,remanufacture,0.905464,0.79806,0.147754,0.289281,155170.879,0.333378,1.079232,349.511,1,0.995859,265.097,0.303162,0.035261,201.447,0,COMPLETE
OBS-00044-SCN-01-005-P04,SCN-01-005,4,PLANT-08,baseline,NMC811,411.104,3475.195,1428665.864,3502.593,4162.142,444.368,0.0,467.825,192324.736,0.892133,0.528835,0.191664,0.279502,0.826678,1073.052,0.126544,21.043,0.642595,A,second_life,0.877862,0.841563,0.170025,0.3217,125013.348,0.284647,0.711305,503.609,1,0.988321,316.476,0.278363,0.040242,152.627,0,COMPLETE
OBS-00045-SCN-01-005-P05,SCN-01-005,5,PLANT-08,baseline,NMC811,411.104,3230.411,1328034.035,3269.026,3717.661,425.309,0.0,526.709,216532.079,0.855888,0.486307,0.205629,0.308064,0.798636,1040.746,0.06664,15.748,0.635275,A,second_life,0.895806,0.875107,0.139881,0.271091,142794.496,0.398002,1.071879,840.694,1,0.982468,353.128,0.276553,0.034816,375.988,0,COMPLETE
OBS-00046-SCN-01-005-P06,SCN-01-005,6,PLANT-08,baseline,NMC811,411.104,3155.122,1297082.726,3178.688,3699.703,542.983,0.0,680.282,279666.374,0.916901,0.455754,0.266649,0.277597,0.720259,1967.78,0.119323,24.047,0.578451,B,recycle,0.883104,0.806135,0.15516,0.298561,191315.235,0.149797,0.870629,629.778,1,0.983551,299.761,0.270802,0.038217,189.072,0,COMPLETE
OBS-00047-SCN-01-005-P07,SCN-01-005,7,PLANT-08,baseline,NMC811,411.104,2639.371,1085055.368,2643.026,3055.421,233.738,0.0,346.498,142446.63,0.88099,0.486049,0.197807,0.316144,0.682728,1411.473,0.158516,27.893,0.526797,B,remanufacture,0.902221,0.81193,0.174441,0.343488,93472.609,0.322639,0.948305,535.123,1,0.99004,297.379,0.221165,0.036914,261.438,0,COMPLETE
OBS-00048-SCN-01-005-P08,SCN-01-005,8,PLANT-08,baseline,NMC811,411.104,2354.413,967908.086,2399.674,2797.372,456.365,0.0,472.773,194358.974,0.894549,0.433123,0.254574,0.312304,0.86072,1015.588,0.367425,25.37,0.562245,B,remanufacture,0.858551,0.82828,0.146594,0.302257,127388.47,0.342264,0.954848,20.0,1,0.985774,343.291,0.240153,0.038858,117.982,0,COMPLETE
OBS-00049-SCN-01-005-P09,SCN-01-005,9,PLANT-08,baseline,NMC811,411.104,2381.1,978879.301,2416.728,2776.024,269.462,0.0,533.294,219239.132,0.877074,0.442304,0.266807,0.290889,0.732468,593.759,0.248797,26.613,0.523116,B,recycle,0.886904,0.817072,0.173507,0.306976,140951.691,0.181,0.909959,488.72,1,0.981328,315.016,0.345835,0.043046,108.919,0,COMPLETE
OBS-00050-SCN-01-005-P10,SCN-01-005,10,PLANT-08,baseline,NMC811,411.104,2748.434,1129891.742,2795.322,3169.654,502.621,0.0,708.063,291087.282,0.856556,0.495492,0.235679,0.268829,0.823371,801.406,0.166613,22.135,0.624259,A,second_life,0.921676,0.811838,0.175473,0.330576,189479.239,0.374267,1.028239,728.144,1,0.983475,337.911,0.479891,0.049768,158.131,0,COMPLETE
OBS-00051-SCN-01-006-P01,SCN-01-006,1,PLANT-02,baseline,NMC811,400.075,2394.932,958152.995,2406.178,2574.219,315.294,0.0,487.754,195138.443,0.891066,0.511587,0.202334,0.28608,0.840332,715.91,0.225807,27.989,0.607685,B,recycle,0.878263,0.832682,0.170889,0.317014,126616.457,0.363003,0.949216,805.563,1,0.975519,326.172,0.346185,0.029514,126.346,0,COMPLETE
OBS-00052-SCN-01-006-P02,SCN-01-006,2,PLANT-02,baseline,NMC811,400.075,2746.818,1098933.646,2766.737,3018.93,239.147,0.0,346.738,138721.091,0.907467,0.387466,0.263181,0.349354,0.624533,516.795,0.266223,22.556,0.434545,B,remanufacture,0.894762,0.811368,0.133016,0.251161,97654.474,0.367478,0.97366,384.24,1,0.974829,308.069,0.379632,0.041588,226.335,0,COMPLETE
OBS-00053-SCN-01-006-P03,SCN-01-006,3,PLANT-02,baseline,NMC811,400.075,2879.503,1152017.878,2923.509,3225.029,564.874,0.0,348.29,139342.14,0.936849,0.569714,0.161452,0.268834,0.885566,968.383,0.064693,22.699,0.719652,A,remanufacture,0.888249,0.831823,0.17656,0.354533,95481.383,0.23833,0.861136,587.639,1,0.996514,248.412,0.325365,0.050043,200.015,0,COMPLETE
OBS-00054-SCN-01-006-P04,SCN-01-006,4,PLANT-02,baseline,NMC811,400.075,2834.853,1134154.472,2816.374,3043.557,281.286,0.0,690.539,276267.536,0.824332,0.535292,0.226035,0.238673,0.905883,498.778,0.145582,36.4,0.668157,A,second_life,0.891928,0.862225,0.1805,0.314454,166460.317,0.327834,1.309816,690.439,1,0.986709,266.327,0.309547,0.035242,131.254,0,COMPLETE
OBS-00055-SCN-01-006-P05,SCN-01-006,5,PLANT-02,baseline,NMC811,400.075,2498.726,999678.46,2503.439,2804.545,349.044,0.0,322.62,129072.108,0.854416,0.45067,0.231668,0.317661,0.749818,1263.761,0.271059,27.358,0.522688,B,remanufacture,0.871089,0.818219,0.158504,0.314772,80838.117,0.316764,0.872561,709.013,1,0.994149,226.546,0.373445,0.035035,128.696,0,COMPLETE
OBS-00056-SCN-01-006-P06,SCN-01-006,6,PLANT-02,baseline,NMC811,400.075,2406.587,962815.762,2437.078,2746.596,309.808,0.0,625.74,250342.921,0.8854,0.479043,0.261776,0.259182,0.833127,423.171,0.134243,33.812,0.628977,A,recycle,0.906959,0.856851,0.160943,0.333172,168676.259,0.391247,0.99466,591.085,1,0.983753,360.246,0.502017,0.035715,226.556,0,COMPLETE
OBS-00057-SCN-01-006-P07,SCN-01-006,7,PLANT-02,baseline,NMC811,400.075,2336.758,934878.948,2333.333,2684.394,360.118,0.0,264.651,105880.324,0.923188,0.510247,0.292053,0.1977,0.964015,1208.541,0.174539,31.409,0.711086,A,remanufacture,0.896435,0.832124,0.14887,0.363906,74579.583,0.201347,1.111159,515.343,1,0.988357,325.161,0.430791,0.034681,159.868,0,COMPLETE
OBS-00058-SCN-01-006-P08,SCN-01-006,8,PLANT-02,baseline,NMC811,400.075,2355.436,942351.343,2362.621,2826.082,319.692,0.0,586.474,234633.727,0.827144,0.519089,0.158977,0.321934,0.721499,937.905,0.127591,31.941,0.557413,B,recycle,0.879634,0.830399,0.164336,0.297078,142660.86,0.209701,1.026854,437.02,1,0.97544,256.771,0.529419,0.04835,254.171,0,COMPLETE
OBS-00059-SCN-01-006-P09,SCN-01-006,9,PLANT-02,baseline,NMC811,400.075,2164.569,865990.424,2193.043,2322.186,225.428,0.0,223.808,89539.953,0.889341,0.520106,0.260706,0.219188,0.909841,609.261,0.227451,31.219,0.64725,A,second_life,0.893399,0.840029,0.155363,0.321809,60089.809,0.29243,1.110919,309.257,1,0.971728,305.762,0.361267,0.034967,173.663,0,COMPLETE
OBS-00060-SCN-01-006-P10,SCN-01-006,10,PLANT-02,baseline,NMC811,400.075,2456.676,982854.956,2501.198,2903.68,392.825,0.0,417.522,167040.347,0.938667,0.512567,0.211299,0.276134,0.816226,367.514,0.111695,26.541,0.649446,A,second_life,0.894604,0.846849,0.155391,0.292538,118473.178,0.267228,1.089425,316.275,1,0.975795,246.447,0.353252,0.041055,199.905,0,COMPLETE
OBS-00061-SCN-01-007-P01,SCN-01-007,1,PLANT-09,baseline,NMC111,422.941,2819.52,1192491.006,2848.543,2994.616,266.4,0.0,477.511,201959.195,0.902822,0.485012,0.213824,0.301164,0.755572,300.509,0.193835,17.509,0.548499,B,remanufacture,0.873261,0.841391,0.170331,0.32951,132103.636,0.277648,1.160645,261.738,1,0.987758,375.314,0.330306,0.03677,288.418,0,COMPLETE
OBS-00062-SCN-01-007-P02,SCN-01-007,2,PLANT-09,baseline,NMC111,422.941,2940.52,1243666.898,2906.265,3475.799,452.615,0.0,665.425,281435.677,0.9086,0.5195,0.1912,0.289301,0.778862,1068.191,0.211976,31.633,0.559135,B,remanufacture,0.873897,0.796112,0.18718,0.282808,181637.9,0.390728,0.993669,239.036,1,0.984096,317.694,0.395442,0.04081,140.712,0,COMPLETE
OBS-00063-SCN-01-007-P03,SCN-01-007,3,PLANT-09,baseline,NMC111,422.941,2781.287,1176320.617,2770.814,2951.497,493.661,0.0,308.825,130614.971,0.884087,0.469289,0.31285,0.217861,0.888226,643.417,0.039789,35.787,0.708063,A,second_life,0.913561,0.820114,0.170391,0.304558,87518.337,0.41416,1.15685,215.626,1,0.975175,355.113,0.261253,0.034482,332.735,0,COMPLETE
OBS-00064-SCN-01-007-P04,SCN-01-007,4,PLANT-09,baseline,NMC111,422.941,3091.567,1307550.646,3082.215,3655.039,443.182,0.0,403.398,170613.446,0.932993,0.343168,0.255405,0.401427,0.526859,616.179,0.345342,28.585,0.322819,C,recycle,0.876109,0.802954,0.147461,0.279729,118895.137,0.363865,0.930409,229.633,1,0.991779,269.043,0.453866,0.040119,203.354,0,COMPLETE
